TABLE NO.  1
 ID          CELLINE     ADDITIVE    ADDITIVECONC DRUG        DAY         REP         DRUGCONC    DV          Y           IPRED       IRES        IWRES       CWRES       TOP         BOTTOM      IC50        GAMMA       TVTOP       TVBOTTOM    TVIC50      TVGAMMA     IMAX        ETA1        ETA2        ETA3        ETA4        DV          PRED        RES         WRES
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  9.2850E-01  9.3588E-01  9.3588E-01 -7.3836E-03 -4.3451E-02 -2.1363E-01  9.3587E-01  1.0312E-01  1.0923E-02  1.0490E+00  9.9741E-01  9.8024E-02  1.0847E-02  1.0490E+00  8.8982E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  9.2850E-01  9.9742E-01 -6.8920E-02 -2.0133E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  7.6208E-04  8.7936E-01  8.8782E-01  8.8782E-01 -8.4599E-03 -5.2479E-02 -2.1592E-01  9.3587E-01  1.0312E-01  1.0923E-02  1.0490E+00  9.9741E-01  9.8024E-02  1.0847E-02  1.0490E+00  8.8982E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  8.7936E-01  9.4516E-01 -6.5796E-02 -2.0338E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  2.2862E-03  7.8998E-01  8.0064E-01  8.0064E-01 -1.0660E-02 -7.3324E-02 -2.2382E-01  9.3587E-01  1.0312E-01  1.0923E-02  1.0490E+00  9.9741E-01  9.8024E-02  1.0847E-02  1.0490E+00  8.8982E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  7.8998E-01  8.5047E-01 -6.0487E-02 -2.1054E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  6.8587E-03  6.4047E-01  6.1915E-01  6.1915E-01  2.1326E-02  1.8970E-01  6.9789E-02  9.3587E-01  1.0312E-01  1.0923E-02  1.0490E+00  9.9741E-01  9.8024E-02  1.0847E-02  1.0490E+00  8.8982E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  6.4047E-01  6.5381E-01 -1.3332E-02  6.2197E-02
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  2.0576E-02  2.3344E-01  3.8608E-01  3.8608E-01 -1.5264E-01 -2.1774E+00 -2.2497E+00  9.3587E-01  1.0312E-01  1.0923E-02  1.0490E+00  9.9741E-01  9.8024E-02  1.0847E-02  1.0490E+00  8.8982E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.3344E-01  4.0216E-01 -1.6872E-01 -2.1100E+00
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  6.1728E-02  2.3286E-01  2.1957E-01  2.1957E-01  1.3293E-02  3.3343E-01  2.8805E-01  9.3587E-01  1.0312E-01  1.0923E-02  1.0490E+00  9.9741E-01  9.8024E-02  1.0847E-02  1.0490E+00  8.8982E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.3286E-01  2.2301E-01  9.8501E-03  2.7834E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  1.8519E-01  1.3957E-01  1.4380E-01  1.4380E-01 -4.2339E-03 -1.6215E-01 -2.2594E-01  9.3587E-01  1.0312E-01  1.0923E-02  1.0490E+00  9.9741E-01  9.8024E-02  1.0847E-02  1.0490E+00  8.8982E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.3957E-01  1.4166E-01 -2.0946E-03 -2.2094E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  5.5556E-01  1.1529E-01  1.1642E-01  1.1642E-01 -1.1329E-03 -5.3596E-02 -1.4433E-01  9.3587E-01  1.0312E-01  1.0923E-02  1.0490E+00  9.9741E-01  9.8024E-02  1.0847E-02  1.0490E+00  8.8982E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.1529E-01  1.1229E-01  2.9974E-03 -1.4173E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  1.0000E+00  1.6667E+00  1.1290E-01  1.0737E-01  1.0737E-01  5.5244E-03  2.8336E-01  1.7853E-01  9.3587E-01  1.0312E-01  1.0923E-02  1.0490E+00  9.9741E-01  9.8024E-02  1.0847E-02  1.0490E+00  8.8982E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.1290E-01  1.0259E-01  1.0310E-02  1.7971E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  2.0000E+00  0.0000E+00  8.1962E-01  9.3588E-01  9.3588E-01 -1.1626E-01 -6.8418E-01 -8.5437E-01  9.3587E-01  1.0312E-01  1.0923E-02  1.0490E+00  9.9741E-01  9.8024E-02  1.0847E-02  1.0490E+00  8.8982E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  8.1962E-01  9.9742E-01 -1.7780E-01 -7.9144E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  2.0000E+00  7.6208E-04  8.3243E-01  8.8782E-01  8.8782E-01 -5.5396E-02 -3.4364E-01 -5.0708E-01  9.3587E-01  1.0312E-01  1.0923E-02  1.0490E+00  9.9741E-01  9.8024E-02  1.0847E-02  1.0490E+00  8.8982E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  8.3243E-01  9.4516E-01 -1.1273E-01 -4.7186E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  2.0000E+00  2.2862E-03  8.5451E-01  8.0064E-01  8.0064E-01  5.3866E-02  3.7053E-01  2.2004E-01  9.3587E-01  1.0312E-01  1.0923E-02  1.0490E+00  9.9741E-01  9.8024E-02  1.0847E-02  1.0490E+00  8.8982E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  8.5451E-01  8.5047E-01  4.0379E-03  1.9957E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  2.0000E+00  6.8587E-03  6.0807E-01  6.1915E-01  6.1915E-01 -1.1080E-02 -9.8558E-02 -2.1847E-01  9.3587E-01  1.0312E-01  1.0923E-02  1.0490E+00  9.9741E-01  9.8024E-02  1.0847E-02  1.0490E+00  8.8982E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  6.0807E-01  6.5381E-01 -4.5738E-02 -2.0523E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  2.0000E+00  2.0576E-02  3.5847E-01  3.8608E-01  3.8608E-01 -2.7601E-02 -3.9373E-01 -4.6609E-01  9.3587E-01  1.0312E-01  1.0923E-02  1.0490E+00  9.9741E-01  9.8024E-02  1.0847E-02  1.0490E+00  8.8982E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  3.5847E-01  4.0216E-01 -4.3688E-02 -4.3756E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  2.0000E+00  6.1728E-02  2.3525E-01  2.1957E-01  2.1957E-01  1.5683E-02  3.9337E-01  3.4799E-01  9.3587E-01  1.0312E-01  1.0923E-02  1.0490E+00  9.9741E-01  9.8024E-02  1.0847E-02  1.0490E+00  8.8982E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.3525E-01  2.2301E-01  1.2240E-02  3.3598E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  2.0000E+00  1.8519E-01  1.3832E-01  1.4380E-01  1.4380E-01 -5.4766E-03 -2.0975E-01 -2.7354E-01  9.3587E-01  1.0312E-01  1.0923E-02  1.0490E+00  9.9741E-01  9.8024E-02  1.0847E-02  1.0490E+00  8.8982E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.3832E-01  1.4166E-01 -3.3373E-03 -2.6785E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  2.0000E+00  5.5556E-01  1.2332E-01  1.1642E-01  1.1642E-01  6.8969E-03  3.2627E-01  2.3554E-01  9.3587E-01  1.0312E-01  1.0923E-02  1.0490E+00  9.9741E-01  9.8024E-02  1.0847E-02  1.0490E+00  8.8982E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.2332E-01  1.1229E-01  1.1027E-02  2.3600E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  2.0000E+00  1.6667E+00  1.1452E-01  1.0737E-01  1.0737E-01  7.1494E-03  3.6672E-01  2.6188E-01  9.3587E-01  1.0312E-01  1.0923E-02  1.0490E+00  9.9741E-01  9.8024E-02  1.0847E-02  1.0490E+00  8.8982E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.1452E-01  1.0259E-01  1.1935E-02  2.6272E-01
  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00   1.0000E+00  1.0000E+00  3.0000E+00  0.0000E+00  9.6186E-01  9.3588E-01  9.3588E-01  2.5978E-02  1.5288E-01 -1.7308E-02  9.3587E-01  1.0312E-01  1.0923E-02  1.0490E+00  9.9741E-01  9.8024E-02  1.0847E-02  1.0490E+00  8.8982E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  9.6186E-01  9.9742E-01 -3.5558E-02 -2.0516E-02
